"Probename"	"Gene Symbol"	"sh-GFP"	"sh-JAK2-shRNA1"	"sh-JAK2-shRNA2"	"shRNA-control"
"219603_s_at"	"ZNF226"	41.8822432366667	37.60695151	44.2226536866667	42.0158855833333
"219604_s_at"	"ZNF3"	26.1293474733333	24.26365131	27.1930965666667	25.68469207
"219605_at"	"ZNF3"	21.6559436933333	21.2997310533333	20.7205970066667	20.2603284066667
"219606_at"	"PHF20L1"	27.2614800666667	25.1985829833333	25.23023012	28.0254599166667
"219607_s_at"	"MS4A4A"	377.6026862	357.106111533333	384.893209133333	330.3724539
"219608_s_at"	"FBXO38"	40.69455765	42.2732650566667	37.5712497966667	47.07833485
"219609_at"	"WDR25"	35.3209585066667	32.8517650133333	45.5924992066667	32.0259889333333
"219610_at"	"RGNEF"	33.4108785933333	33.4227810766667	32.77536461	32.3329403066667
"219611_s_at"	"CCDC21"	267.9065065	253.931271633333	290.5364266	258.1503267
"219612_s_at"	"FGG"	20.5470037033333	21.0012936366667	26.30764437	19.46793381
"219613_s_at"	"SIRT6"	38.8952980266667	40.1003465166667	44.1945023533333	34.0725245166667
"219614_s_at"	"SLC6A20"	23.1239638033333	22.4023042366667	20.12187177	20.5260843866667
"219615_s_at"	"KCNK5"	183.107903766667	155.7647527	206.817023933333	178.758668466667
"219616_at"	"FLJ21963"	27.2762548733333	24.8177244533333	27.20432332	26.0358463466667
"219617_at"	"C2orf34"	75.3636718466667	73.1896772433333	86.7803438133333	69.0582719666667
"219618_at"	"IRAK4"	122.674934066667	119.3668673	107.767124086667	122.038948266667
"219619_at"	"DIRAS2"	22.5506398466667	20.43751764	21.4216303933333	22.1939349166667
"219620_x_at"	"FLJ20245"	158.435074666667	155.6851308	212.0374102	156.7487921
"219621_at"	"CLSPN"	108.7731786	97.9554609833333	89.0807182766667	98.8566356833333
"219622_at"	"RAB20"	267.559100433333	285.57205	369.639911066667	255.771715533333
"219623_at"	"ACTR5"	123.671693533333	120.354237033333	160.690068	130.2680814
